census_tract,block_group_count,natrank_avg,staterank_avg
08007974300,3,37.66666667,5.333333333
08007974400,2,26.5,4
08009964600,2,80,9.5
08009964700,2,83,10
08011966700,5,81.33333333,9.666666667
08013012101,4,3.25,1
08013012102,5,17.8,2.4
08013012103,3,10,2
08013012104,2,4,1
08013012105,4,28.75,3.75
08013012201,3,5.666666667,1
08013012202,4,28.25,4.5
08013012203,4,52.5,7
08013012204,3,37,4
08013012300,2,64,9
08013012401,4,52.75,5.5
08013012501,2,14.5,2.5
08013012505,3,5.666666667,1
08013012507,3,17.33333333,2.666666667
08013012508,3,18.66666667,2.666666667
08013012509,3,7,1
08013012510,4,5,1.25
08013012511,3,16.5,2.5
08013012603,2,7,1
08013012605,2,63.5,7.5
08013012607,4,70.75,8.25
08013012608,1,17,3
08013012701,4,5.75,1.25
08013012705,3,29,4.333333333
08013012707,2,46.5,5.5
08013012708,4,8.75,1.5
08013012709,1,13,2
08013012710,3,4.666666667,1
08013012800,5,9.4,1.8
08013012903,1,7,1
08013012904,2,21,3
08013012905,2,32.5,5
08013012907,2,22.5,3.5
08013013003,4,10.25,1.75
08013013004,2,8,1
08013013005,2,14.5,2.5
08013013006,3,13,2
08013013201,1,15,2
08013013202,2,4,1
08013013205,3,7,1
08013013207,3,41,5
08013013208,3,27,4
08013013210,3,34.33333333,5.333333333
08013013211,3,39.33333333,4.333333333
08013013212,3,23,3.666666667
08013013213,3,14.33333333,2.333333333
08013013302,5,40.8,5.8
08013013305,3,37,5.666666667
08013013306,2,45,7
08013013307,2,45.5,7
08013013308,3,46.33333333,7
08013013401,3,53,7.333333333
08013013402,5,31.2,4.6
08013013503,4,48.75,7
08013013505,3,56.33333333,7.666666667
08013013506,1,16,2
08013013507,2,35,5.5
08013013508,3,19.66666667,3.333333333
08013013601,3,12.33333333,1.666666667
08013013602,2,23.5,4
08013013701,4,5.25,1
08013013702,7,19.14285714,3
08013060600,3,30,4
08013060700,3,7.666666667,1.333333333
08013060800,5,42.2,5.8
08013060900,2,28,4.5
08013061300,2,5,1
08013061400,1,7,1
08014030000,2,36,5.5
08014030100,2,31.5,5
08014030200,1,35,6
08014030300,2,34,5
08014030400,3,13.66666667,2
08014030500,4,8,1.25
08014030600,4,42.5,5.25
08014030700,2,22,3.5
08014030800,4,36,4.75
08014030900,4,20,3
08014031000,3,14.66666667,2.666666667
08014031100,3,76.33333333,9.666666667
08014031200,3,29,4.666666667
08014031300,2,4,1
08014031400,4,10.33333333,1.666666667
08014980100,1,#DIV/0!,#DIV/0!
08014980200,1,#DIV/0!,#DIV/0!
08014980300,1,#DIV/0!,#DIV/0!
08015000100,3,36.66666667,5.666666667
08015000200,3,31,5
08015000300,3,16.66666667,2.666666667
08015000401,4,31.5,5
08015000402,2,39,6
08017960600,3,65,8.666666667
08019014700,3,17.33333333,2.666666667
08019014800,1,50,7
08019014900,2,34,5.5
08021974800,2,81,9.5
08021974900,4,61.75,8.5
08023972600,2,70.5,9
08023972700,2,82.5,9.5
08025969600,4,84.5,10
08027970100,4,47.5,6.75
08029964600,4,45.25,6.5
08029964700,3,46.33333333,6.666666667
08029964800,3,53,8
08029964900,3,51,7.666666667
08029965000,4,42.75,6.5
08029965100,3,57,8
08029965200,4,50.75,7.25
08031000102,3,20.66666667,3
08031000201,2,44.5,7
08031000202,4,47,6
08031000301,6,18.83333333,3
08031000302,5,21,3.4
08031000303,6,17.5,2.666666667
08031000401,4,23.25,3.75
08031000402,6,21.83333333,3.5
08031000501,2,14,2
08031000502,5,23.8,3.8
08031000600,2,31.5,5
08031000701,3,43.66666667,6
08031000702,5,52,7.4
08031000800,1,86,10
08031000902,5,57.4,7.8
08031000903,5,63.6,8.6
08031000904,4,69.5,9
08031000905,4,65.5,8.75
08031001000,3,66.33333333,8.666666667
08031001101,4,50,6.5
08031001102,3,19.33333333,3
08031001301,5,51.6,7.6
08031001302,3,58,8
08031001401,5,56,7.8
08031001402,4,58.5,8.25
08031001403,2,45,7
08031001500,3,62.66666667,8.666666667
08031001600,3,30.33333333,4.666666667
08031001701,5,15.4,2.4
08031001702,2,32.5,5
08031001800,2,43,6.5
08031001901,2,62,8.5
08031001902,1,#DIV/0!,#DIV/0!
08031002000,1,17,3
08031002100,5,24.4,3.8
08031002300,3,24.33333333,4
08031002402,2,23,3.5
08031002403,3,24.33333333,3.666666667
08031002601,2,60.5,7
08031002602,1,22,4
08031002701,4,78.25,8.5
08031002702,5,48.6,6.6
08031002703,4,60.75,8
08031002801,3,17.33333333,3
08031002802,4,42.75,5.75
08031002803,4,31,5
08031002901,3,19.33333333,2.666666667
08031002902,3,8,1.333333333
08031003001,5,10.2,1.6
08031003002,3,20.33333333,3.333333333
08031003003,2,17,3
08031003004,3,16.5,3
08031003101,1,24,4
08031003102,2,32.5,5.5
08031003201,5,29.8,4.8
08031003202,3,45.66666667,6
08031003203,3,2.333333333,1
08031003300,4,5.75,1
08031003401,2,9.5,1.5
08031003402,3,4,1
08031003500,5,71.2,9
08031003601,5,45.4,6.8
08031003602,5,52,7.4
08031003603,2,30.5,5
08031003701,2,21.5,3.5
08031003702,4,37,4.75
08031003703,2,18.5,3
08031003800,5,10.6,2
08031003901,3,2.666666667,1
08031003902,3,10.66666667,1.333333333
08031004002,4,9.25,1.5
08031004003,4,22.5,3.5
08031004004,1,20,3
08031004005,2,23.5,4
08031004006,4,5,1
08031004101,3,57,8
08031004102,4,50.5,7.5
08031004103,6,18.66666667,3
08031004104,6,27.33333333,4.333333333
08031004106,1,6,1
08031004107,1,12,2
08031004201,6,9.833333333,1.666666667
08031004202,5,13.75,2.25
08031004301,4,51.5,6.25
08031004302,3,14,2
08031004303,4,2,1
08031004304,4,17.25,2.75
08031004306,5,21.4,3.4
08031004403,3,50.66666667,7.333333333
08031004404,3,52.33333333,7.333333333
08031004405,4,30,4
08031004503,3,75,9
08031004504,3,62.33333333,8.333333333
08031004505,3,71,9.333333333
08031004506,3,69.33333333,9
08031004601,4,53.25,7.5
08031004602,4,61,8.25
08031004603,5,50,7.4
08031004700,6,41.16666667,6.5
08031004801,3,32.33333333,5
08031005001,2,31,5
08031005002,5,35.6,5.4
08031005102,4,28.75,4.5
08031005104,2,35.5,5.5
08031005200,4,21.5,3.5
08031005300,1,40,6
08031005502,1,28,4
08031005503,4,35,5.5
08031006701,1,19,3
08031006804,2,14.5,2.5
08031006809,6,37,4.833333333
08031006810,4,33.75,5.25
08031006811,4,32.75,4.5
08031006812,3,47.66666667,6.666666667
08031006813,3,78,9
08031006814,4,27.75,4.25
08031006901,5,55.4,7.2
08031007006,2,97,10
08031007013,2,42.5,6.5
08031007037,3,49.66666667,6.666666667
08031007088,4,72.75,8.75
08031007089,4,81.25,10
08031008304,3,53.33333333,7.666666667
08031008305,3,61,8.333333333
08031008306,4,53.25,7.75
08031008312,3,57,7.666666667
08031008386,2,48,7
08031008387,2,44,6.5
08031008388,2,39,6
08031008389,3,23.66666667,4
08031008390,3,38.66666667,5.666666667
08031008391,2,35.5,5.5
08031011902,4,33.75,5.5
08031011903,2,34,5
08031012001,2,15,2.5
08031012010,3,26.66666667,4
08031012014,4,39.25,6
08031015300,3,42.33333333,6.666666667
08031015400,4,29.66666667,4.666666667
08031015500,3,72.66666667,8
08031015600,4,64.5,8.5
08031015700,4,52.75,6.75
08031980000,1,62,8
08031980100,1,#DIV/0!,#DIV/0!
08033000100,2,73.5,9.5
08035013901,4,11.75,1.75
08035013904,3,46,6.666666667
08035013905,3,41,5
08035013907,4,28,4.25
08035013908,5,11.2,1.6
08035013909,3,10,2
08035013910,2,11.5,2
08035013911,4,8,1.25
08035014001,3,29,4.666666667
08035014005,2,22.5,3.5
08035014006,2,10.5,2
08035014007,2,30.5,4.5
08035014008,4,10.5,1.5
08035014009,2,18.5,3
08035014010,3,37,4.666666667
08035014011,1,13,2
08035014012,4,12,2.25
08035014013,2,7,1.5
08035014107,2,15.5,2.5
08035014108,3,15.33333333,2.666666667
08035014109,1,9,1
08035014110,4,43.75,5.25
08035014112,2,16,2.5
08035014113,2,11,1.5
08035014114,2,26,4.5
08035014115,2,10.5,1.5
08035014116,3,29.33333333,4
08035014122,4,25.5,3.25
08035014123,2,48,5.5
08035014124,3,11,1.666666667
08035014125,1,6,1
08035014126,1,20,3
08035014127,2,6.5,1
08035014128,2,18,3
08035014129,2,11,1.5
08035014130,4,12.75,2
08035014131,3,11.66666667,2
08035014132,2,6.5,1
08035014133,3,9,1.666666667
08035014134,2,9,1.5
08035014135,1,3,1
08035014136,3,18,2.666666667
08035014137,3,6.333333333,1
08035014138,2,43,6
08035014139,2,15,2.5
08035014140,3,5.666666667,1
08035014202,2,7.5,1
08035014203,3,13,2.333333333
08035014204,1,19,3
08035014300,1,30,5
08035014403,3,11,2
08035014404,1,9,1
08035014405,4,14.5,2.25
08035014406,4,14,2
08035014503,3,20.33333333,3.333333333
08035014504,3,47,6.333333333
08035014505,3,22.66666667,3.666666667
08035014506,2,9,1.5
08035014602,1,5,1
08035014603,3,23,4
08035014604,2,17.5,3
08037000100,1,47,7
08037000200,3,22.33333333,3.666666667
08037000301,3,32.66666667,4.666666667
08037000302,2,7,1
08037000401,2,20.5,3.5
08037000402,2,43,5.5
08037000403,3,10.66666667,1.666666667
08037000501,1,2,1
08037000502,2,9.5,1.5
08037000503,4,56.25,6.75
08037000600,1,14,2
08037000701,1,4,1
08037000702,2,18,3
08037000703,2,41.5,5.5
08039961100,2,37.5,6
08039961204,4,12,2
08039961205,2,22.5,3.5
08039961206,2,15.5,2.5
08039961207,2,15,2
08039961208,2,18.5,3
08039961209,1,26,4
08041000101,4,39,5.75
08041000102,3,39,6.333333333
08041000202,4,36.75,5.5
08041000203,3,54,7.666666667
08041000301,3,64,8.666666667
08041000302,2,96,10
08041000400,3,49,7
08041000500,2,41,6.5
08041000600,3,46.66666667,6.666666667
08041000700,3,55.33333333,7.666666667
08041000800,3,50.33333333,7.333333333
08041000900,2,27,4
08041001000,3,11.66666667,1.666666667
08041001101,2,64,8.5
08041001104,2,57,8
08041001301,3,53.66666667,7.666666667
08041001302,3,45.33333333,6.666666667
08041001400,3,52.33333333,8
08041001500,2,52.5,7.5
08041001600,3,#DIV/0!,#DIV/0!
08041001700,2,59.5,8.5
08041001800,2,34.5,5.5
08041001900,3,67.66666667,8.666666667
08041002000,4,61,8.25
08041002101,2,68.5,9
08041002102,3,63,8.333333333
08041002200,3,63,8.333333333
08041002300,2,89,10
08041002400,3,48,7
08041002501,3,12,1.666666667
08041002502,3,29.33333333,4.666666667
08041002700,3,62.66666667,8.333333333
08041002800,4,74.25,9.25
08041002900,5,80.6,9.6
08041003000,4,52,7.25
08041003100,6,8.166666667,1.5
08041003303,4,59,7.75
08041003305,3,8,1.333333333
08041003306,2,16.5,2.5
08041003307,2,33.5,5.5
08041003308,2,51,7.5
08041003400,3,24.66666667,4
08041003701,3,20.33333333,3
08041003702,2,11,1.5
08041003705,3,24.66666667,4
08041003706,2,19,3
08041003707,3,15.33333333,2.666666667
08041003708,2,20,3
08041003709,4,23.5,3.75
08041003801,2,78.5,9.5
08041003802,2,#DIV/0!,#DIV/0!
08041003902,2,14.5,2.5
08041003905,3,27.66666667,4.333333333
08041003906,4,27.75,4.25
08041003909,3,37.33333333,6
08041004008,1,93,10
08041004009,1,72,9
08041004100,4,57.25,8
08041004200,2,53,7.5
08041004300,3,55.66666667,7
08041004401,3,91.33333333,10
08041004402,3,#DIV/0!,#DIV/0!
08041004403,1,89,10
08041004501,3,71,9
08041004502,2,35,5.5
08041004503,4,37.75,6
08041004506,4,49,7
08041004507,3,42.33333333,6.666666667
08041004508,4,70.25,8.75
08041004510,2,30,4.5
08041004511,3,43.66666667,6.666666667
08041004601,2,39.5,6
08041004602,3,46.66666667,7
08041004603,2,49.5,7
08041004701,3,34.33333333,5.333333333
08041004702,2,32.5,5
08041004703,5,30.2,5
08041004705,3,30,5
08041004706,1,21,3
08041004800,4,44,6.75
08041004901,2,51.5,7.5
08041004902,3,17.66666667,3
08041005000,4,56.5,8.25
08041005104,2,29.5,4.5
08041005105,2,28,4.5
08041005106,3,29,4.666666667
08041005107,1,22,4
08041005108,3,27.66666667,4.333333333
08041005109,4,41,5.75
08041005110,3,50,7.333333333
08041005111,2,61.5,7.5
08041005201,3,69.66666667,9
08041005202,2,72,9
08041005300,3,63.66666667,8.666666667
08041005400,4,72.25,9
08041005501,3,38.66666667,5.666666667
08041005502,3,53.66666667,7.666666667
08041005601,3,38.66666667,6
08041005602,3,43.33333333,6.333333333
08041005700,4,35.5,5.75
08041005800,3,35.66666667,5.333333333
08041005900,5,38.8,6
08041006000,4,64.75,8.5
08041006100,2,68,9
08041006200,3,73.33333333,9
08041006301,3,46.66666667,7
08041006302,2,76,9
08041006400,4,59.75,8.25
08041006501,2,76.5,9
08041006502,3,54,7.666666667
08041006600,3,37.33333333,5.666666667
08041006700,4,32,5
08041006801,2,40,6
08041006802,2,26.5,4.5
08041006901,2,20.5,3
08041006902,3,23.66666667,3.666666667
08041007000,2,11,2
08041007101,1,10,2
08041007102,2,11.5,1.5
08041007201,2,12.5,2
08041007202,3,12.33333333,2
08041007300,3,9,1.666666667
08041007400,3,7.333333333,1.333333333
08041007500,3,15,2.333333333
08041007601,2,18,2.5
08041007602,3,13,2.333333333
08041007700,3,35.66666667,5.333333333
08041007800,2,33.5,5.5
08041007900,2,18.5,3
08041008000,3,49,7
08043978100,4,50,7.25
08043978200,3,67,8.666666667
08043978300,4,55.75,8
08043978400,2,59,8.5
08043978500,4,64.5,8.75
08043978600,4,76.25,9.25
08043978800,3,66.33333333,8.666666667
08043979000,3,46.33333333,7
08043979100,3,57,8.333333333
08043979200,2,54,6.5
08043979400,1,59,8
08043980100,1,#DIV/0!,#DIV/0!
08043980200,1,#DIV/0!,#DIV/0!
08043980300,1,#DIV/0!,#DIV/0!
08045951600,4,23.25,3.75
08045951701,3,28,4.333333333
08045951702,4,28,4.25
08045951802,2,36,5
08045951803,3,14.66666667,2.666666667
08045951804,3,11.66666667,2
08045951901,2,32.5,5
08045951902,3,49.66666667,6.666666667
08045952001,2,42,6
08045952002,6,54.33333333,7
08045952100,4,40.75,5.75
08047013800,4,29.5,4.75
08049000100,2,34,5.5
08049000201,3,28,4.666666667
08049000202,4,20.75,3.25
08051963600,8,28.375,4.5
08051963700,5,37,5.5
08051963800,5,13.4,2
08051963900,2,20.5,3
08053973100,1,29,5
08055960600,4,86.75,10
08055960900,3,48,7.333333333
08057955600,2,51.5,7
08059009806,2,14.5,2
08059009807,2,28.5,4.5
08059009808,4,13,2.25
08059009815,2,16.5,2.5
08059009823,3,24,4
08059009824,2,25,4
08059009827,3,20,3
08059009828,4,24,4
08059009829,1,21,3
08059009830,1,46,7
08059009831,2,91.5,10
08059009832,2,32,5.5
08059009833,5,34.2,5.2
08059009834,3,36.66666667,6
08059009835,2,18.5,3
08059009836,2,13.5,2
08059009837,2,4.5,1
08059009838,2,8,1.5
08059009839,2,15,2.5
08059009840,2,25,4.5
08059009841,2,23.5,4
08059009842,2,8.5,1.5
08059009843,4,13.25,2.25
08059009845,3,4.666666667,1
08059009846,4,9,1.5
08059009847,2,16.5,3
08059009848,3,6,1.333333333
08059009849,5,55.8,6.6
08059009850,2,4.5,1
08059009851,3,15,2.333333333
08059009852,3,12.33333333,2
08059009900,3,23,4
08059010000,3,24,4
08059010100,4,56,7
08059010205,2,17,3
08059010206,3,26.33333333,4.333333333
08059010208,4,35.5,5.5
08059010209,4,42.75,6.5
08059010210,2,24.5,4
08059010211,3,31.33333333,5
08059010212,4,32,5
08059010213,4,42,6.5
08059010303,5,37.6,5
08059010304,3,35.66666667,5.666666667
08059010305,4,48.25,7
08059010306,3,30,5
08059010307,3,33,5.333333333
08059010308,3,31.66666667,5
08059010402,4,54,8
08059010403,4,46,7
08059010405,1,47,7
08059010406,2,70,8.5
08059010502,4,26.75,4.25
08059010503,3,21.33333333,3.333333333
08059010504,3,11,1.666666667
08059010603,3,41,6.666666667
08059010604,3,38.33333333,6
08059010701,3,34,5.666666667
08059010702,3,37,6
08059010801,1,17,3
08059010901,5,26.6,4.4
08059010902,2,44.5,6.5
08059011000,6,30.66666667,4.666666667
08059011100,5,31.2,4.8
08059011202,4,33.75,5
08059011300,4,39.25,6
08059011401,2,61.5,8.5
08059011402,3,68.66666667,8.333333333
08059011550,5,58.8,7.8
08059011601,2,48.5,7
08059011602,3,43,6.666666667
08059011701,4,25.25,4.25
08059011702,4,29.25,4.75
08059011708,3,29,5
08059011709,3,38.66666667,5.666666667
08059011710,3,33.33333333,5.333333333
08059011711,4,30.5,5
08059011712,3,22.66666667,4
08059011720,4,22.25,3.75
08059011721,2,19,3
08059011723,2,29.5,4.5
08059011724,2,10.5,1.5
08059011725,1,19,3
08059011726,3,19,3.333333333
08059011727,3,21.33333333,3.333333333
08059011728,2,21,3.5
08059011729,3,51,7.333333333
08059011730,3,54,8
08059011731,3,52.33333333,7
08059011732,4,75,9.5
08059011733,1,32,5
08059011803,4,44.25,6.75
08059011804,3,29.33333333,4.666666667
08059011805,3,61.66666667,7.333333333
08059011806,3,53.66666667,7.666666667
08059011904,2,49,7
08059011951,2,36,5.5
08059012022,4,17.75,2.75
08059012023,3,22.33333333,3.666666667
08059012024,3,13.33333333,2.333333333
08059012026,3,24,4
08059012027,3,14.33333333,2.333333333
08059012030,4,15,2.75
08059012031,3,14.66666667,2.333333333
08059012032,3,11,1.666666667
08059012033,3,10.66666667,1.666666667
08059012034,3,3,1
08059012035,3,3.666666667,1
08059012036,2,8.5,1.5
08059012037,3,17.33333333,2.666666667
08059012038,2,26,4
08059012039,5,27.4,4.4
08059012041,4,20.5,3.25
08059012042,2,20.5,3.5
08059012043,3,19,3.333333333
08059012044,2,17.5,2.5
08059012045,4,18.25,3
08059012046,2,29,5
08059012047,3,34.33333333,5.666666667
08059012048,3,23,4
08059012049,3,13.33333333,2.333333333
08059012050,3,10,2
08059012051,3,15,2.666666667
08059012052,5,29.2,4.6
08059012053,3,20.33333333,3.333333333
08059012054,3,14.33333333,2.666666667
08059012055,3,18.66666667,3
08059012057,4,20.75,3
08059012058,4,14.75,2.5
08059012059,3,12,1.666666667
08059012060,2,30,5
08059015800,3,34.33333333,5
08059015900,2,23.5,3.5
08059060300,4,19,2.75
08059060400,3,22.33333333,4
08059060500,3,11.33333333,2
08059980000,1,#DIV/0!,#DIV/0!
08059980400,1,#DIV/0!,#DIV/0!
08061960100,2,75,9.5
08063962100,4,64.66666667,8.666666667
08063962200,2,60.5,8.5
08063962300,2,75,9.5
08065961700,6,48,7.333333333
08065961900,2,48.5,7
08067940300,3,40.33333333,6.333333333
08067940400,3,23.33333333,4
08067970600,6,26,4.333333333
08067970701,3,18.66666667,2.666666667
08067970703,4,15.25,2.5
08067970704,2,25.5,4.5
08067970800,4,19.33333333,3
08067970900,3,22.33333333,3.333333333
08067971000,2,19,3
08067971100,3,24,4
08069000100,2,72,8.5
08069000201,2,27,4.5
08069000202,2,23.5,4
08069000300,2,24.5,3.5
08069000401,2,45,7
08069000402,2,41,6
08069000503,3,75.33333333,8.666666667
08069000504,2,47,7
08069000505,2,70,8.5
08069000506,2,38.5,6
08069000600,3,#DIV/0!,#DIV/0!
08069000700,2,28.5,4.5
08069000801,1,34,5
08069000802,1,30,5
08069000901,3,36.33333333,5.666666667
08069000902,3,38,6
08069001003,5,46,6.8
08069001004,4,26,4.25
08069001007,3,29.66666667,4.333333333
08069001008,2,37,5
08069001009,5,22.8,3.6
08069001010,2,12.5,2.5
08069001104,5,39.4,6
08069001106,4,42.75,6.75
08069001107,5,38.6,6
08069001109,4,29,5
08069001110,3,72.33333333,8.333333333
08069001111,2,36,5.5
08069001112,3,40.66666667,5.333333333
08069001113,1,18,3
08069001114,1,8,1
08069001301,4,30.5,5
08069001304,2,96.5,10
08069001305,2,49,7
08069001306,1,94,10
08069001307,1,25,4
08069001308,3,16.66666667,2.666666667
08069001601,2,42,6
08069001602,2,26,4
08069001603,3,25.33333333,4
08069001605,1,21,3
08069001606,1,20,3
08069001607,1,20,3
08069001608,1,9,2
08069001704,3,53,8
08069001706,5,39,5.6
08069001707,3,55,7
08069001708,1,22,4
08069001709,4,16.25,2.75
08069001804,4,42.5,6.5
08069001806,3,27,4
08069001807,4,28.25,4.5
08069001808,3,16.33333333,3
08069001809,3,20,3
08069001901,3,50.66666667,7.666666667
08069001902,4,41.5,6.5
08069001903,3,45.33333333,5.666666667
08069002005,2,47.5,7
08069002007,3,49.66666667,7.333333333
08069002008,2,44,6.5
08069002010,1,11,2
08069002011,4,23.75,3.75
08069002300,2,22.5,4
08069002401,2,34,5.5
08069002402,3,26.33333333,4.333333333
