census_tract,block_group_count,natrank_avg,staterank_avg
08001007801,2,64,8.5
08001007802,3,84,9.666666667
08001007900,4,75,9.25
08001008000,6,50,7.333333333
08001008100,1,98,10
08001008200,3,52.33333333,7.666666667
08001008308,3,80,9.333333333
08001008309,3,78.66666667,9.333333333
08001008353,5,58,7.6
08001008401,2,38,5
08001008402,2,29.5,4.5
08001008505,6,40,6.333333333
08001008506,4,57.66666667,8
08001008507,5,36.8,5.8
08001008508,3,34.66666667,5.333333333
08001008523,4,21.33333333,3
08001008524,5,23.8,3.6
08001008526,5,19.6,3.2
08001008529,3,49,6.333333333
08001008533,2,33.5,5
08001008534,3,30,4.666666667
08001008535,1,33,5
08001008536,1,20,3
08001008537,1,21,3
08001008538,2,19,3
08001008539,1,30,5
08001008540,1,18,3
08001008541,1,8,1
08001008542,2,25.5,4
08001008543,5,34.6,4.6
08001008544,1,14,2
08001008545,5,17.6,2.8
08001008546,2,37.5,5.5
08001008547,2,30,4.5
08001008548,1,27,4
08001008549,2,25.5,4
08001008550,4,30,4.5
08001008551,1,9,1
08001008603,1,69,9
08001008604,2,58,8
08001008605,2,40,6
08001008606,3,52,7.333333333
08001008705,4,63.25,8.5
08001008706,3,61.66666667,8.333333333
08001008709,5,79.2,9.4
08001008801,3,63.66666667,8.666666667
08001008802,3,65,8.333333333
08001008901,2,63.5,8.5
08001009001,2,54.5,8
08001009002,5,52,7.4
08001009101,3,50.33333333,7.333333333
08001009103,2,74.5,9
08001009104,2,43,6.5
08001009202,3,52.66666667,7.666666667
08001009203,3,77.66666667,8.666666667
08001009204,3,30,4.333333333
08001009206,1,32,5
08001009207,2,41.5,6.5
08001009304,5,46,6.6
08001009306,2,40,6
08001009307,2,48.5,7.5
08001009308,4,52.5,7.75
08001009309,2,48,7
08001009310,4,50.25,7.5
08001009316,5,84.8,9.8
08001009318,2,72,9
08001009319,3,77.66666667,9.333333333
08001009320,2,86.5,10
08001009321,3,77.66666667,9
08001009322,2,67.5,8.5
08001009323,4,64.25,7.5
08001009325,3,25.33333333,3.666666667
08001009326,2,16.5,2.5
08001009327,4,34,5.25
08001009401,3,43.66666667,6.333333333
08001009406,2,38,6
08001009407,3,42.33333333,6.666666667
08001009408,1,14,2
08001009409,2,19,3
08001009410,2,11,2
08001009411,2,25,4
08001009501,2,58,8
08001009502,3,59.66666667,8
08001009553,2,48,7
08001009603,5,63.8,7.8
08001009604,2,58,8
08001009606,2,66,8.5
08001009607,3,54.33333333,7
08001009608,2,33.5,5.5
08001009751,2,76,9
08001009752,2,43.5,6.5
08001015000,2,78,9.5
08001060000,2,8,1.5
08001060100,2,25.5,4
08001060200,2,37.5,5
08001061200,1,13,2
08001988700,1,#DIV/0!,#DIV/0!
08003960000,2,58,8
08003960100,3,53.33333333,7.666666667
08003960200,6,62.5,8.166666667
08003960300,4,78,9.5
08005004951,1,73,9
08005004952,2,93,10
08005005551,2,66.5,8.5
08005005552,2,76.5,9.5
08005005553,3,42.33333333,6.666666667
08005005611,4,24,4
08005005612,2,19,3.5
08005005614,3,20,3
08005005619,4,21.75,3.75
08005005620,2,68.5,8.5
08005005621,2,7.5,1.5
08005005622,2,3.5,1
08005005623,2,13.5,2
08005005624,1,13,2
08005005625,2,32.5,5
08005005626,2,34.5,5.5
08005005627,3,15,2.333333333
08005005628,4,25.25,3.75
08005005629,2,3.5,1
08005005630,4,21.75,3.5
08005005631,3,19,3
08005005632,2,13.5,2
08005005633,2,13,2
08005005634,2,47,6.5
08005005635,3,17,2.666666667
08005005636,1,1,1
08005005700,3,51.66666667,7.333333333
08005005800,2,24,4
08005005951,4,57.25,7.5
08005005952,2,19.5,3
08005006000,3,43.33333333,6.666666667
08005006100,3,42.33333333,6.333333333
08005006200,4,37.25,5.75
08005006300,4,38.5,6
08005006400,3,37.33333333,5.666666667
08005006501,1,95,10
08005006502,3,34.66666667,5.666666667
08005006601,4,63,8
08005006603,3,30,4.666666667
08005006604,3,36.33333333,5.666666667
08005006704,4,1,1
08005006705,1,1,1
08005006706,3,10.33333333,1.666666667
08005006707,4,20.75,3.25
08005006708,3,11.33333333,1.666666667
08005006709,4,12.5,2
08005006711,4,12.25,2
08005006712,2,2.5,1
08005006713,1,79,10
08005006808,3,4.333333333,1
08005006815,4,36.75,5
08005006854,1,10,2
08005006855,2,9,1
08005006856,4,30.66666667,4.666666667
08005006857,2,3.5,1
08005006858,3,20,3.333333333
08005007101,4,38,5.5
08005007103,1,18,3
08005007104,3,42,5
08005007105,2,50,6.5
08005007106,2,14.5,2
08005007107,2,8.5,1.5
08005007201,3,70,8.666666667
08005007202,3,69.66666667,9
08005007301,2,78.5,9.5
08005007302,4,73.75,9.25
08005007400,4,63.25,8.5
08005007500,2,52,7.5
08005007600,4,77.5,9.25
08005007702,3,48.66666667,7.333333333
08005007703,3,45.66666667,6.666666667
08005007704,3,74.66666667,9
08005015100,2,13.5,2
08005080000,2,53.5,7.5
08005080100,3,65,8.666666667
08005080200,4,27.5,4
08005080300,4,38,5.75
08005080400,4,38.75,5.75
08005080500,2,42.5,6
08005080600,3,57.66666667,8
08005080700,3,53.33333333,7.333333333
08005080800,2,54.5,8
08005080900,2,37.5,5.5
08005081000,4,75,9
08005081100,4,72.25,8.5
08005081200,3,67,8.333333333
08005081300,2,49.5,7.5
08005081400,4,40.75,6.25
08005081500,2,60.5,8.5
08005081600,4,36,5.75
08005081700,2,8.5,1.5
08005081800,3,65,8.333333333
08005081900,4,57,8
08005082000,3,80.33333333,9.333333333
08005082100,3,53.66666667,6.666666667
08005082200,4,55.5,8
08005082300,2,46,7
08005082400,3,56.33333333,7.333333333
08005082500,2,36.5,6
08005082600,4,61.25,8
08005082700,2,35,5.5
08005082800,4,47.5,6.75
08005082900,3,44.66666667,6.666666667
08005083000,1,20,3
08005083100,4,40.25,5.75
08005083200,4,18,2.75
08005083300,3,35.33333333,5.666666667
08005083400,3,31.33333333,5
08005083500,5,34.4,4.8
08005083600,3,46.66666667,7
08005083700,2,18.5,3
08005083800,3,35,5
08005083900,2,45.5,6.5
08005084000,3,29,4.666666667
08005084100,3,33.66666667,5
08005084200,3,42.33333333,6.333333333
08005084300,2,31.5,5
08005084400,2,37,6
08005084500,2,60,7
08005084600,4,39.25,6
08005084700,4,31.75,5
08005084800,3,26.33333333,4
08005084900,2,6.5,1
08005085000,1,5,1
08005085100,3,7,1
08005085200,2,8,1.5
08005085300,1,10,2
08005085400,3,18.66666667,3
08005085500,3,19,2.666666667
08005085600,2,11.5,1.5
08005085700,4,45,6.5
08005085800,1,27,4
08005085900,2,19,3
08005086000,4,22.75,3.75
08005086100,3,22.66666667,3.666666667
08005086200,3,20.66666667,3
08005086300,3,25,3.666666667
08005086400,2,3.5,1
08005086500,3,29,4.333333333
08005086600,2,14,2.5
08005086700,2,5.5,1
08005086800,4,51.5,7.25
08005086900,2,66,8.5
08005087000,3,60,8
08005087100,2,82,9.5
08005087200,3,31.33333333,4
08005087300,5,70.2,8.6
08007940400,2,33.5,5.5
08007974200,3,37.33333333,5.666666667
